x,z
1.0000000000, 0.0000000000
0.9995065604, -0.0314107591
0.9980267284, -0.0627905195
0.9955619646, -0.0941083133
0.9921147013, -0.1253332336
0.9876883406, -0.1564344650
0.9822872507, -0.1873813146
0.9759167619, -0.2181432414
0.9685831611, -0.2486898872
0.9602936857, -0.2789911060
0.9510565163, -0.3090169944
0.9408807690, -0.3387379202
0.9297764859, -0.3681245527
0.9177546257, -0.3971478906
0.9048270525, -0.4257792916
0.8910065242, -0.4539904997
0.8763066800, -0.4817536741
0.8607420270, -0.5090414158
0.8443279255, -0.5358267950
0.8270805743, -0.5620833779
0.8090169944, -0.5877852523
0.7901550124, -0.6129070537
0.7705132428, -0.6374239897
0.7501110696, -0.6613118653
0.7289686274, -0.6845471059
0.7071067812, -0.7071067812
0.6845471059, -0.7289686274
0.6613118653, -0.7501110696
0.6374239897, -0.7705132428
0.6129070537, -0.7901550124
0.5877852523, -0.8090169944
0.5620833779, -0.8270805743
0.5358267950, -0.8443279255
0.5090414158, -0.8607420270
0.4817536741, -0.8763066800
0.4539904997, -0.8910065242
0.4257792916, -0.9048270525
0.3971478906, -0.9177546257
0.3681245527, -0.9297764859
0.3387379202, -0.9408807690
0.3090169944, -0.9510565163
0.2789911060, -0.9602936857
0.2486898872, -0.9685831611
0.2181432414, -0.9759167619
0.1873813146, -0.9822872507
0.1564344650, -0.9876883406
0.1253332336, -0.9921147013
0.0941083133, -0.9955619646
0.0627905195, -0.9980267284
0.0314107591, -0.9995065604
0.0000000000, -1.0000000000
-0.0314107591, -0.9995065604
-0.0627905195, -0.9980267284
-0.0941083133, -0.9955619646
-0.1253332336, -0.9921147013
-0.1564344650, -0.9876883406
-0.1873813146, -0.9822872507
-0.2181432414, -0.9759167619
-0.2486898872, -0.9685831611
-0.2789911060, -0.9602936857
-0.3090169944, -0.9510565163
-0.3387379202, -0.9408807690
-0.3681245527, -0.9297764859
-0.3971478906, -0.9177546257
-0.4257792916, -0.9048270525
-0.4539904997, -0.8910065242
-0.4817536741, -0.8763066800
-0.5090414158, -0.8607420270
-0.5358267950, -0.8443279255
-0.5620833779, -0.8270805743
-0.5877852523, -0.8090169944
-0.6129070537, -0.7901550124
-0.6374239897, -0.7705132428
-0.6613118653, -0.7501110696
-0.6845471059, -0.7289686274
-0.7071067812, -0.7071067812
-0.7289686274, -0.6845471059
-0.7501110696, -0.6613118653
-0.7705132428, -0.6374239897
-0.7901550124, -0.6129070537
-0.8090169944, -0.5877852523
-0.8270805743, -0.5620833779
-0.8443279255, -0.5358267950
-0.8607420270, -0.5090414158
-0.8763066800, -0.4817536741
-0.8910065242, -0.4539904997
-0.9048270525, -0.4257792916
-0.9177546257, -0.3971478906
-0.9297764859, -0.3681245527
-0.9408807690, -0.3387379202
-0.9510565163, -0.3090169944
-0.9602936857, -0.2789911060
-0.9685831611, -0.2486898872
-0.9759167619, -0.2181432414
-0.9822872507, -0.1873813146
-0.9876883406, -0.1564344650
-0.9921147013, -0.1253332336
-0.9955619646, -0.0941083133
-0.9980267284, -0.0627905195
-0.9995065604, -0.0314107591
-1.0000000000, -0.0000000000
-0.9995065604, 0.0314107591
-0.9980267284, 0.0627905195
-0.9955619646, 0.0941083133
-0.9921147013, 0.1253332336
-0.9876883406, 0.1564344650
-0.9822872507, 0.1873813146
-0.9759167619, 0.2181432414
-0.9685831611, 0.2486898872
-0.9602936857, 0.2789911060
-0.9510565163, 0.3090169944
-0.9408807690, 0.3387379202
-0.9297764859, 0.3681245527
-0.9177546257, 0.3971478906
-0.9048270525, 0.4257792916
-0.8910065242, 0.4539904997
-0.8763066800, 0.4817536741
-0.8607420270, 0.5090414158
-0.8443279255, 0.5358267950
-0.8270805743, 0.5620833779
-0.8090169944, 0.5877852523
-0.7901550124, 0.6129070537
-0.7705132428, 0.6374239897
-0.7501110696, 0.6613118653
-0.7289686274, 0.6845471059
-0.7071067812, 0.7071067812
-0.6845471059, 0.7289686274
-0.6613118653, 0.7501110696
-0.6374239897, 0.7705132428
-0.6129070537, 0.7901550124
-0.5877852523, 0.8090169944
-0.5620833779, 0.8270805743
-0.5358267950, 0.8443279255
-0.5090414158, 0.8607420270
-0.4817536741, 0.8763066800
-0.4539904997, 0.8910065242
-0.4257792916, 0.9048270525
-0.3971478906, 0.9177546257
-0.3681245527, 0.9297764859
-0.3387379202, 0.9408807690
